CardTitle,CardSummary,CardTemplate,Category
Big Mistakes Case Study,"Explain the biggest mistakes your customers/subscribers make, how to fix them, and a case study to back it up.","I have [coached/taught/worked with] [X] of [Target Audience].

And after spending [X] hours examining their [Business / Process / Habits etc], they make 3 big mistakes.

Here's where they go wrong, how to fix it, and how [Customer Name] achieved [Outcome] in [Small Time Frame]:",Personal Story
The Cheat Codes,Explain the problems your customers face and the outcomes they get by using your cheat codes—working with you or buying your product.,"I have [coached/taught/worked with] [X] of [target audience].

Before they work with me they:

- Problem 1

- Problem 2

- Problem 3

Once they use [Product/Service/Offer] they:

- Outcome 1

- Outcome 2

- Outcome 3

[Offer] is your cheat code.

<Image of customer testimonial>",Advice & Life Lessons
The Public Testimonial,Repost a public testimonial from one of your customers/clients/subscribers.,"Amazing takeaways from [Name], one of my customers.

Love seeing these shared in public! Keep 'em coming!

<Link to public post about your product>",Social Proof / Spotlight
Another Sucess Story,Share a win or testimonial while also hinting at how successful your product is in terms of number of customers/subscribers etc.,"Another incredible [Product] success story ([Metric To Show The Success / Popularity Of Your Product]):

<Testimonial image / win from your customer>",Personal Story
The Game-Changer Talk,Write a thread on the on TED Talk that changed your life.,"I'm [Age].

[X] years ago, I watched [TED Talk].

Since then I have [Outcome 1] and [Outcome 2]

Here are [X] life-changing lessons I took away from this talk (start applying these in 2 minutes):",Advice & Life Lessons
The Only TED To Watch,Give your takeaways on the best TED talk you've ever watched.,"The only TED Talk you need to watch on [Topic]:

[TED Talk]

• [Takeaway 1]

• [Takeaway 2]

• [Takeaway 3]

An inspiring talk if you want to [Outcome].",Advice & Life Lessons
Biggest Life Mistakes,What are your biggest life mistakes? Share them with your audience.,"Here are my X biggest life mistakes.

I am X years old.

I still feel young, but old enough to have real regrets.

Let's dive in:",Personal Story
The Path To Mastery (In 5 Minutes),Share a condensed version of something that took you years to master.,"This took me X years to master, I’ll teach it to you in X minutes.

Stop trying to [Common Action] (and why you should focus on these [Unexpected Action] instead):",Advice & Life Lessons
Smart People Takeaways,Share your realizations about the smartest people you know after spending hours studying them.,[X] realizations about the smartest people I look up to (after spending [Y]+ hours studying them):,Advice & Life Lessons
Predict The Future,"Explain the future of your niche, topic, or industry in 5 minutes.","This is the greatest time to [Action/Be In Industry Or Niche] in the last [X] years.

I know because I have [Achievement 1], [Achievement 2], [Achievement 3].

Here's the future of [Industry/Niche] in 5 minutes or less:",Advice & Life Lessons
Podcasts On Repeat,Share the podcasts you listen to on repeat and how they accelerated your personal development.,[X] podcasts I re-listen to every month (because of the huge impact they had on my thinking at the time):,Advice & Life Lessons
The Most Valuable Skill,Explain the most valuable skill in your niche and what people get wrong about it.,"The [Your Title/Label] most valuable skill:

[Skill].

It's not about [Myth About Skill].

It's about knowing [Important Parts Of Skill].",Insight & Prediction
Speaking From Experience,What traps are keeping people in your niche stuck? Explain how to escape them to unlock an Ultimate Positive Outcome.,"I've [Achievement For Your Customers/Audience].

99% of them fall into [X] big traps—mistakes that keep them [Negative Outcome]

Here's how to quickly fix them (so you can start [Positive Outome] today):",Educational Breakdown
A Lesson You Wish You'd Learned Sooner,Share 1 lesson you wish you'd learned sooner (and why),"Another [Topic] lesson I wish I'd learned sooner:

[Lesson].

[1-liner explanation].",Advice & Life Lessons
Your Topic Reframe,What's one reframe that's helped you in your niche? Share how it's helped you.,"How I think about [Topic]:

[One simple sentence reframe]

[1 sentence to expand on reframe].

And my goal is to [Outcome] without [Painful / Hard Activity].",Advice & Life Lessons
The Profile,Share insights from a famous person in your niche (or beyond).,"Meet [Person].

[Achievement or Recognition].

[Other Notable Achievements or Projects].

Here are [Number] of [Possessive] timeless [Subject Insights] (on [Specific Topics]):",Advice & Life Lessons
Your Favorite Person,"Profile your favorite person in your industry/niche, and share lessons you learned from them.","This person is a [Profession 1], [Profession 2], [Profession 3]...

And one of my favorite humans ever.

Steal these [Number] lessons from [Person] on [Main, Positive Topic] (& [Negative Topic]):",Advice & Life Lessons
Beat The Common Misconception,A hook for a How To thread or Atomic Essay introduction tweet.,How to [Achieve Desired Outcome] (without [Common Misconception]):,Educational Breakdown
Lessons You Don't Want To Forget,A viral thread hook or introduction tweet to an Atomic Essay about your most important lessons so far this year/month/week.,[Number] important lessons I’m trying to stamp into my brain (from [Time Period] so far):,Advice & Life Lessons
Your Advice To The Younger Generation,Share what you think people younger than you should know.,"I’m [Age].

If you're still in your [Age Range], read this:",Advice & Life Lessons
Wind Back The Clock,Share a story about how you want from on top of the world to somewhere not as nice (and the lessons you learned along the way).,"In [Year], at [Age], I felt on top of the world.

I'd just [Significant Achievement]. Well, kinda.

I'll tell you the story of how I [Unexpected Outcome]:",Advice & Life Lessons
Hard-Earned Advice,Share a complete list of advice you've learned in your role/industry. Can be a single tweet or a hook into a longer thread.,"[Number] pieces of advice after [Time Period] as a [Role]:

1. [Advice 1]

2. [Advice 2]

3. [Advice 3]

4. [Advice 4]",Advice & Life Lessons
What No One Tells You,Share insights no-one else will (in a thread form or image).,"What no one tells you about being a [Role].

1. [Advice 1]

2. [Advice 2]

3. [Advice 3]

4. [Advice 4]

5. [Advice 5]

6. [Advice 6]

7. [Advice 7]",Advice & Life Lessons
From Eye-Opening Realization to Action,Share the 1 realization that made you start taking a certain action.,"Once you realize [Eye-Opening Realization], you almost have no choice but to [Action to Take].",Advice & Life Lessons
Short-term Sacrifices For Long-Term Gain,Share what you need to ignore now so you can reap 10x that when you reach the top.,All the [Short-Term Sacrifices] on the way up will be available to you [Magnitude of Increase] once you [Achieve Success].,Advice & Life Lessons
The Keystone Skill,Which small skill supports a bigger (more impressive) skill? Explain how to get started.,"If you can [Specific Skill], you can [Broad Skill].

Here's how to get started:",Educational Breakdown
Change How People Perceive You,Explain how to break a habit that's making you look bad.,"[Undesirable Behavior] make you seem [Negative Perception].

Break the habit of [Undesirable Behavior] and use these [Number] alternatives instead:",Advice & Life Lessons
Curated Insights From Your Favorite Content,Share 1 piece of content that changed your life & the lessons you took from it.,"A [Type of Content] that changed my life:

[Content Title] with [Person]

I [Listened/Read] [Time Period] ago and still apply the lessons from it every day.

Here are [Number] of my favorite [Key Insights] from the [Type of Content] (that you can use to [Benefit]):",Curation
Scale The Conversation,Share the insights you gave in a recent conversation (so you can scale your message online).,"I’ve been [Activity] for [Time Period].

So I sat down with [Person] to discuss what it takes to be a successful [Role].

Here are [Number] faulty beliefs stopping [Group] from [Desired Outcome]:",Advice & Life Lessons
A Well Thought-Out Decision,Explain why you didn't take a course of action you were previously excited about.,"I considered [Action].

After some research, I realized [Contrary Conclusion].

There is no chance [Assertion].

And [Assertion 2].

The reason surprised me:",Advice & Life Lessons
Everyone Else Is Wrong,"Explain a common misconception people have about an outcome, what the ""truth"" is, and how to get started to achieving the dream outcome.","Everyone thinks [Common Misconception].

But [Contrary Truth].

[Number] habits that will make you [Desired State] than [Comparison Group]:",Advice & Life Lessons
Best Investment This Year?,Ask your audience what's the best investment they've made in a chosen area for this year.,What's the best investment you've made in your [Aspect] this year?,Advice & Life Lessons
What Should I Be Reading?,Crowdsource reading recommendations for your summer vacation (and more!),"Looking for [Season] [Activity] recommendations.

What's 1 book I should absolutely prioritize and why?",Advice & Life Lessons
The Tough Pill To Swallow,Point out a common path which is hard to take and explain the rules your audience needs to break free.,"[Doing Common Path] for [Time Period] is a tough pill to swallow.

Instead, think about your life using these [Number] rules:",Advice & Life Lessons
The Habits That Changed Your Life,Share your journey and the habits that helped get you to where you are today.,"I used to be [Negative State 1], [Negative State 2], and [Negative State 3].

Now, I only [Positive Activity 1], [Positive Activity 2], and make [Impressive Income] every [Time Period].

[Number] habits that transformed my life:",Advice & Life Lessons
MasterClass Golden Nuggets,Share your main takeaways from a MasterClass you're obsessed with.,"[Name] is one of the [Role/Profession] of all time.

• [Achievement 1]

• [Achievement 2]

• [Achievement 3]

• [Achievement 4]

I am fascinated by [Posessive] career.

So I watched [Posessive] MasterClass (twice!).

Here are the golden nuggets:",Social Proof / Spotlight
I Watched Every MasterClass,You've watched very MasterClass on a topic. Now share all your takeaways with your audience.,"I watched every MasterClass on [Topic].

• [Teacher 1]

• [Teacher 2]

• [Teacher 3]

After [X]+ hours, here are my [Y] takeaways on how to [Outcome]",Educational Breakdown
Controversial Reminder,Share a reminder about why a commonly held belief isn't true—and the realizations that helped you get there.,"Your monthly reminder:

[Controversial Opinion]

[Clarifying Statement]

[X] realizations about [topic] (after spending 500+ hours studying them):🧵",Advice & Life Lessons
Business Rules,Business forces you to make compromises. What rules do you have for yourself? Share them with your audience.,"In [Year], I set [X] business rules for myself that changed my life.

Since then, I [Achieved Outcome] and added [Y] more rules.

If you're just getting started in business, read this:🧵

For context, I have:

• [Achievement 1]

• [Achievement 2]

• [Achievement 3]

These [X] rules helped me get there:

Rule 1: [Rule]

This helped me:

• [Action Step 1]

• [Action Step 2]

• [Action Step 3]

It's my number 1 for a reason—which leads me to my next rule:

Rule 2: [Rule]

Most people think becoming successful is [X].

But it's actually [Y].

This rule keeps this idea top of mind every single day.",Advice & Life Lessons
Advice I Almost Fell For,What's some terrible (but commonly accepted) advice you disagree with? Share it and then explain what you did differently.,"Terrible advice I almost fell for:

“[Advice].”

Instead, I found a different (but unconventional) path to [Positive Outcome].

Here's the entire roadmap (from [Negative Position] to [Positive Position]):

[1-3 Sentences Explaining The Position You Were In]

[1-3 Sentences Explaining The Advice You Were Tempted To Follow]

Instead, I decided to do [Uncoventional Advice].

I recommend everyone trying to achieve [X] do the same.

Here's how to get started:

Step 1: [Step]

[1-3 Sentences Explaining The Step]

Step 2: [Step]

• [Action 1]

• [Action 2]

• [Action 3]

Once you've done this, move on to the final step:

Step 3: [Step]

[1-3 Sentences Explaining The Step]

So, if you want to achieve [X] you don't need to [Commonly Accepted Advice].

Instead, use this roadmap.

It worked for me—and I bet it will work for you, too.",Educational Breakdown
Mistakes + Personal Story,Give the story behind the biggest mistake of your career.,"In [Year], [Unexpected Event Happened].

I [Response To Evejt, Create A Huge Outcome] and thought I'd hit the jackpot.

But what I did next was the biggest mistake of my career.

Here's the story of how I lost [Something Valuable]: 🧵

[1-3 Sentences Explaining The Context Leading Up To The Unexpected Event]

[1-3 Sentences Explaining The Unexpected Event In Detail]

[What You Did In Response To Unexpected Event]

[1-3 Sentences Explaining What Happened Next]

[Summary of Why Your Response Was A Mistake]

[1-3 Sentences Explaining What You Missed Out On]

Looking back, I should have:

• [Action 1]

• [Action 2]

• [Action 3]

If I'd known even half of what I know today, that [Outcome] could have been a [Huge Outcome].",Personal Story
Waitlist Is Open,Annouce your digital product by opening a waitlist (and gather more email subs & potential buyers).,"[Bold Credibility Statement]

And I get [DMs/Emails/Calls] every week asking me how to [Outcome].

So, on [Date], I'll share the full blueprint with you inside [Product Name].

Join the waitlist in the thread:

Get on the waitlist for some early bird bonuses:",Curation
Product Launch,A short and sweet launch post to mop up some early sales.,"I just released [Product Name]!

• [Tangible Outcome Your Product Provides]

• [Tangible Outcome Your Product Provides]

• [Tangible Outcome Your Product Provides]

This is everything you need to [Overarching Outcome].

(Link in the next post)

Get your copy here:",Advice & Life Lessons
Final Day,Let your audience know when they have less than 24 hours to buy.,"[Product Name] disappears in [X] hours!

Inside is everything you need to:

• [Tangible Outcome Your Product Provides]

• [Tangible Outcome Your Product Provides]

• [Tangible Outcome Your Product Provides]

Get it to [Outcome]👇

Grab your copy here (before [Time]):",Advice & Life Lessons
Watch This Interview On Repeat,Give your takeaways on an interview you can't stop watching or listening to.,"I can't stop listening to this interview:

[Person] with [Interviewee].

If you want to [Outcome] in [Year] this is everything you need to know:🧵

[1-2 Sentences Giving Context On The Interview]

Here are my [X] takeaways:

1. [Takeaway 1].

This will change how you think about [Topic].

Staple this quote to your bathroom mirror:

""[Quote]""

2. [Takeaway 2].

Once you realize this, you'll want to:

• [Action Point 1]

• [Action Point 2]

• [Action Point 3]

Ultimately, this will help you [Outcome].

3. ""[Takeaway In Form Of A Quote].""

Another one to staple to your bathroom mirror.

Do this, and you'll be able to [Outcome 1], [Outcome 2], and [Outcome 3].",Advice & Life Lessons
Lessons + Examples,"Share the life lessons you learned from an earlier life experience, with examples of how it's helped you in your current phase of life.","At [Age], I was [Surprising Achievement].

My [Peers/Parents/Teachers] told me it was a horrible waste of time.

But [Niche Area] taught me these [X] life lessons (that helped me [Career Outcome]):🧵

Lesson 1: [Lesson].

[1-3 sentences giving examples of how this helped you in your current career/ phase of life]

Which leads us to:

Lesson 2: [Lesson].

Without this, I would never have:

• [Example 1]

• [Example 2]

• [Example 3]

A game-changer.

Lesson 3: [Lesson].

[1-3 sentences giving examples from that period of your life & how it helped you in your current career/ phase of life]

A lesson I wish I learned sooner.",Advice & Life Lessons
Tips + Reasons,Give your audience the tips they need to get a result—and explain the reasons why they work or why people get it wrong.,"I've [Huge Outcome For Your Niche]

But the crazy part?

I would still be stuck [Negative Position] if I hadn't mastered one skill:

[Skill]

I used these [X] [Skill] tips to become a top 1% [Title]:🧵

Tip 1: [Tip]

This works because:

• [Reason 1]

• [Reason 2]

• [Reason 3]

Simple but effective.

Tip 2: [Tip]

Most people believe [Mistake Relating To Tip].

But this is wrong for [Reason 1], [Reason 2], [Reason 3].

Harsh but true.

Tip 3: [Tip]

Master this and you'll never be [Negative Postion]—for 3 reasons:

• [Reason 1]

• [Reason 2]

• [Reason 3]

Easy.",Advice & Life Lessons
The “You Want?” Story Hook,What big outcome does your audience want? Share your zero to hero story of how you achieved it.,"You want [Massive Positive Outcome (MPO)]?

[1-Liner Explaining Simple Answer.]

At [Age], I was [Negative State 1], [Negative State 2].

[X] months later, I [Outcome Related To MPO].

Most people overthink. I just started.

Here’s the story:🧵

[1-3 Sentences Expanding On Your Negative State 1 & 2]

Then I [Small Action Which Started You Down An Unexpected Path]

[Expand On Your Journey, With Tweets Mentioning Particular Turning Points]

This all lead me to: [State Related To ""Simple Answer"" In Hook] And this changed everything for me:

[Expand On The Outcomes, With Tweets Mentioning Particular Turning Points & Achievements]",Personal Story
